Results_Name,VSPAERO_History
Results_Timestamp,1711202817
Results_Date,3,23,2024
Results_Time,16,6,57
Alpha,-1.000000000000000000e+01,-1.000000000000000000e+01,-1.000000000000000000e+01
AnalysisMethod,1
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,2.364762717000000024e-03,1.502950693999999905e-03,1.567697966000000101e-03
CDo,1.076230147599999999e-02,1.074017598599999977e-02,1.074248315499999953e-02
CDt,4.648488804999999918e-03,3.797065982000000055e-03,3.454993068000000115e-03
CDtot,1.312706419300000045e-02,1.224312668000000076e-02,1.231018112099999985e-02
CDtott,1.541079028099999991e-02,1.453724196800000069e-02,1.419747622299999922e-02
CFx,-2.124412788699999929e-02,-2.151116521100000095e-02,-2.148422961600000153e-02
CFxi,-3.193542496699999789e-02,-3.218075440600000336e-02,-3.215624620399999689e-02
CFxo,1.069129708000000033e-02,1.066958919500000068e-02,1.067201658700000014e-02
CFy,1.496650099999999916e-05,5.199145999999999976e-04,3.619767880000000142e-04
CFyi,1.896813899999999888e-05,5.337457829999999815e-04,3.681503720000000083e-04
CFyo,-4.001637000000000325e-06,-1.383118300000000083e-05,-6.173584000000000047e-06
CFz,-1.960771860630000085e-01,-1.925012367230000132e-01,-1.927346285129999948e-01
CFzi,-1.947329207509999882e-01,-1.911612754969999883e-01,-1.913951472569999923e-01
CFzo,-1.344265311999999924e-03,-1.339961224999999942e-03,-1.339481256000000066e-03
CL,-1.967873371180000053e-01,-1.933120850270000080e-01,-1.935372537539999938e-01
CLi,-1.973200184710000027e-01,-1.938452355439999886e-01,-1.940712984609999914e-01
CLo,5.326813530000000171e-04,5.331505170000000243e-04,5.340447070000000056e-04
CMx,7.480246889999999770e-04,6.976747290000000299e-04,6.666354839999999666e-04
CMxi,7.437822489999999960e-04,6.934021450000000435e-04,6.622907009999999669e-04
CMxo,4.242439999999999653e-06,4.272583999999999952e-06,4.344782999999999631e-06
CMy,1.398870516469999936e-01,1.337649483499999958e-01,1.343126511440000115e-01
CMyi,1.397214814770000035e-01,1.336063965959999877e-01,1.341543844030000099e-01
CMyo,1.655701700000000005e-04,1.585517539999999894e-04,1.582667400000000032e-04
CMz,-1.086584100000000038e-04,-4.432094000000000056e-05,-5.145614100000000239e-05
CMzi,-1.421224229999999960e-04,-7.638523999999999781e-05,-8.482935800000000314e-05
CMzo,3.346401400000000178e-05,3.206429999999999724e-05,3.337321799999999676e-05
CS,1.496650099999999916e-05,5.199145999999999976e-04,3.619767880000000142e-04
CSi,1.896813899999999888e-05,5.337457829999999815e-04,3.681503720000000083e-04
CSo,-4.001637000000000325e-06,-1.383118300000000083e-05,-6.173584000000000047e-06
E,3.495703989849999749e-01,5.308177707869999873e-01,5.100821818940000085e-01
FC_AoA_,-1.000000000000000000e+01
FC_Beta_,0.000000000000000000e+00
FC_Bref_,1.230000000000000071e+01
FC_Cref_,8.204169999999999519e-01
FC_Mach_,1.000000000000000021e-03
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.500000000000000000e+06
FC_Rho_,2.377000000000000206e-03
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,1.009113299999999924e+01
FC_Vinf_,1.000000000000000000e+02
FC_Xcg_,1.296597999999999917e+00
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,4.499600000000000127e-02
FC_Zcg_,9.867099999999999482e-02
L/D,-1.503154213080300039e+01,-1.583298454816200085e+01,-1.576510504208100016e+01
Mach,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3
Results_Name,VSPAERO_History
Results_Timestamp,1711202817
Results_Date,3,23,2024
Results_Time,16,6,57
Alpha,-8.421053000000000566e+00,-8.421053000000000566e+00,-8.421053000000000566e+00
AnalysisMethod,1
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,1.201811298000000005e-03,5.300788229999999802e-04,6.571168299999999513e-04
CDo,1.057058797900000020e-02,1.056157915900000042e-02,1.056235632899999929e-02
