Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
WingGeom,20.649720,20.649720,0.674583,0.674583
Totals,20.649720,20.649720,0.674583,0.674583

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
WingGeom_S_Surf0,10.324860,10.324860
WingGeom_S_Surf1,10.324860,10.324860
